iter	RMSE
0	1.76608262
11	1.48488823222	1.24214731
3	1.052215039
4	0.910683578
55	0.794900578966	0.716319750577	0.658488213688	0.614785266799	0.582726042
10	0.558962706
11	0.5426534809
12	0.528920758
13	0.5200432891
14	0.5129642123
15	0.5070733022
16	0.5014468596
17	0.4983947107
18	0.4942908257
19	0.4911295902
20	0.4877944288
21	0.4856395937
22	0.4837835682
23	0.4818436281
24	0.4806789531
25	0.4789345131
26	0.4774975197
27	0.4764414094
28	0.4755058402
29	0.4747208859
30	0.472661101
31	0.4705859
32	0.4691569313
33	0.4683144016
34	0.4674458522
35	0.4665113295
36	0.4656263454
37	0.4636747536
38	0.4624776973
39	0.4614683069
40	0.4604167485
41	0.4587660194
42	0.4577939178
43	0.4563506696
44	0.4548963599
45	0.4540098699
46	0.4535821097
47	0.4529114744
48	0.4523386942
49	0.451297947
50	0.4503792001
51	0.4499091854
52	0.449336747
53	0.4486639619
54	0.4483103611
55	0.4470718274
56	0.4466016379
57	0.4456203449
58	0.4449888987
59	0.4445853925
60	0.4437526545
61	0.4431872861
62	0.4425947973
63	0.4417983891
64	0.4412324489
65	0.440879564
66	0.4403682406
67	0.4400172603
68	0.4395522973
69	0.4388695406
70	0.4377957161
71	0.4374148047
72	0.4370701682
73	0.4363925256
74	0.4360763653
75	0.4358219035
76	0.4351889616
77	0.4347563936
78	0.4336879106
79	0.4333420897
80	0.4327315613
81	0.4324895804
82	0.4320926329
83	0.4313217852
84	0.4311213664
85	0.4302419365
86	0.4297547507
87	0.4292282391
88	0.4287619618
89	0.4285835834
90	0.4281833303
91	0.4277646752
92	0.4273405979
93	0.4271100586
94	0.4263509703
95	0.4260566759
96	0.4252430268
97	0.4250328933
98	0.4243653438
99	0.423918671
100	0.4236485565
101	0.4234088626
102	0.4229517771
103	0.4221005591
104	0.4219612044
105	0.4215134127
106	0.4210811606
107	0.4208272256
108	0.4203162284
109	0.4198938746
110	0.4196389041
111	0.4193623675
112	0.4183862837
113	0.4180637682
114	0.4178872536
115	0.4176892314
116	0.4171503591
117	0.416313514
118	0.4159307962
119	0.4156122356
120	0.4154866002
121	0.4151944881
122	0.4150479315
123	0.4147309148
124	0.414445647
125	0.4140223322
126	0.4137816676
127	0.413513641
128	0.4133433312
129	0.4131865343
130	0.4124705155
131	0.412151933
132	0.4120214256
133	0.4113695253
134	0.4102333219
135	0.4096321488
136	0.4091878272
137	0.408591915
138	0.4080980859
139	0.4078885813
140	0.4077641451
141	0.407379747
142	0.407176319
143	0.4069329823
144	0.4065806214
145	0.4062358194
146	0.406063415
147	0.4059807278
148	0.4057513936
149	0.4056761942
150	0.4055539953
151	0.4050729623
152	0.4047394903
153	0.4040054895
154	0.4036890666
155	0.4035267778
156	0.403347214
157	0.403178451
158	0.4029453252
159	0.4024732285
160	0.4021518566
161	0.4020733552
162	0.4014571024
163	0.4012662227
164	0.4004858982
165	0.4001619071
166	0.4000225068
167	0.3996982273
168	0.3995068982
169	0.3993691367
170	0.3993047584
171	0.3991095406
172	0.3988150966
173	0.3985804174
174	0.3982426234
175	0.3980192693
176	0.3976971551
177	0.3975125983
178	0.397438561
179	0.3973633417
180	0.3971309195
181	0.3967592515
182	0.3965087776
183	0.3963045246
184	0.3961394001
185	0.3960654324
186	0.3960043113
187	0.3958419875
188	0.3955368978
189	0.3953195335
190	0.3952039663
191	0.394516547
192	0.3943613571
193	0.3942576471
194	0.3937558625
195	0.3935678111
196	0.3931999747
197	0.393080481
198	0.3928454438
199	0.3922910705
200	0.3919931437
201	0.391893333
202	0.3912529358
203	0.391145043
204	0.3907977939
205	0.3907481461
206	0.3905949508
207	0.390402307
208	0.3903197
209	0.3900694058
210	0.3898007528
211	0.3895370195
212	0.3893700628
213	0.3890968925
214	0.3889767402
