iter	Passed	Remaining
0	678	387312
1	1072	30562622	1518	28793633	1970	27977044	2474	2805975	2753	259762
6	3288	265394
7	3718	262163
8	4117	257603
9	4501	253001
10	4860	247871
11	5247	244866
12	5610	241272
13	5967	237855
14	6330	235087
15	6718	233466
16	7090	231469
17	7555	232542
18	7872	229132
19	8225	227034
20	8528	223771
21	8830	220750
22	9156	218567
23	9519	217353
24	9884	216268
25	10235	214948
26	10567	213310
27	10938	212517
28	11295	211501
29	11668	210812
30	12043	210183
31	12414	209493
32	12763	208477
33	13117	207562
34	13461	206539
35	13774	205093
36	14123	204218
37	14488	203600
38	14835	202757
39	15201	202176
40	15514	200929
41	15837	199854
42	16170	198928
43	16523	198281
44	16883	197725
45	17232	197048
46	17584	196420
47	17930	195742
48	18301	195337
49	18669	194905
50	19059	194709
51	19471	194717
52	19849	194374
53	20177	193550
54	20518	192872
55	20823	191877
56	21139	190997
57	21462	190201
58	21789	189453
59	22097	188562
60	22430	187905
61	22773	187333
62	23128	186865
63	23509	186608
64	23832	185889
65	24206	185581
66	24568	185177
67	24922	184717
68	25285	184329
69	25654	183978
70	25990	183396
71	26331	182859
72	26662	182256
73	26979	181567
74	27383	181464
75	27905	182117
76	28305	181962
77	28737	182006
78	29087	181523
79	29487	181349
80	29856	180982
81	30348	181351
82	30800	181465
83	31382	182315
84	31990	183287
85	32506	183699
86	33030	184137
87	33497	184236
88	33924	184105
89	34406	184268
90	34953	184756
91	35377	184578
92	35964	185235
93	36334	184764
94	36751	184531
95	37348	185188
96	37873	185462
97	38300	185251
98	38682	184817
99	39067	184398
100	39491	184165
101	39890	183807
102	40253	183291
103	40652	182936
104	41243	183437
105	41736	183483
106	42249	183609
107	42862	184147
108	43432	184489
109	43946	184575
110	44596	185216
111	45126	185339
112	45557	185053
113	45974	184704
114	46351	184197
115	46734	183716
116	47129	183279
117	47511	182797
118	47923	182431
119	48348	182111
120	48739	181664
121	49102	181117
122	49479	180618
123	49843	180079
124	50328	179975
125	50708	179490
126	51090	179018
127	51427	178390
128	51854	178073
129	52246	177638
130	52620	177143
131	53035	176786
132	53485	176543
133	53911	176217
134	54261	175646
135	54644	175183
136	55029	174727
137	55442	174362
138	55864	174023
139	56217	173469
140	56585	172966
141	56951	172459
142	57368	172105
143	57761	171680
144	58132	171189
145	58532	170787
146	58978	170515
147	59384	170127
148	59800	169769
