iter	RMSE
0	129045.777
1	124717.0659
2	120870.8873
3	116880.5005
4	113720.4235
5	110259.0653
6	106823.4553
7	103507.6246
8	100525.5135
9	97779.47285
10	94929.99728
11	92221.09468
12	89664.59105
13	87240.64844
14	84945.69256
15	82733.50466
16	80738.88985
17	78787.4034
18	77014.04516
19	75222.6963
20	73578.977
21	72060.52921
22	70584.83268
23	69060.95849
24	67636.70799
25	66404.32635
26	65091.68951
27	63864.33884
28	62733.87815
29	61821.55195
30	60997.8681
31	60077.86949
32	59330.47769
33	58477.64342
34	57686.21013
35	57014.25201
36	56195.48819
37	55616.54587
38	54929.23271
39	54268.8512
40	53745.3409
41	53147.73477
42	52540.00458
43	52035.29667
44	51513.91865
45	51102.61591
46	50645.22791
47	50179.47314
48	49697.99398
49	49278.09244
50	48930.82442
51	48590.06741
52	48253.4412
53	47998.95523
54	47679.4967
55	47434.36926
56	47133.47519
57	46891.23671
58	46615.49981
59	46447.11147
60	46201.0079
61	45943.85676
62	45679.83458
63	45435.69264
64	45219.28732
65	44966.07317
66	44794.31617
67	44598.04623
68	44423.02532
69	44292.76739
70	44090.47058
71	43978.74802
72	43911.34823
73	43718.26717
74	43440.8164
75	43320.16821
76	43132.33477
77	42997.88183
78	42761.74779
79	42680.2853
80	42566.12375
81	42318.89692
82	42166.63661
83	42016.28751
84	41908.53713
85	41796.16956
86	41682.44973
87	41559.14264
88	41400.28159
89	41337.96203
90	41204.90884
91	41135.53356
92	41012.19787
93	40924.49684
94	40839.52565
95	40720.82309
96	40625.37997
97	40535.78056
98	40445.6574
99	40373.18889
100	40311.44736
101	40251.10698
102	40201.55448
103	40151.8476
104	40070.94999
105	40022.62867
106	39950.55428
107	39889.17091
108	39831.4551
109	39720.61224
110	39678.51618
111	39653.8917
112	39593.06093
113	39468.30451
114	39391.97136
115	39356.01582
116	39310.60216
117	39267.72085
118	39214.82713
119	39168.28721
120	39129.15379
121	39003.36487
122	38966.373
123	38906.41109
124	38885.86628
125	38836.26209
126	38805.04968
127	38763.40084
128	38720.75097
129	38703.54963
130	38654.20133
131	38573.63945
132	38545.58986
133	38528.32974
134	38487.83877
135	38424.40766
136	38357.43309
137	38318.40474
138	38191.67628
139	38148.2921
140	38102.75833
141	38088.51375
142	38073.70208
143	38041.84693
144	38019.9297
145	37984.89256
146	37961.44237
147	37835.47756
148	37806.59819
149	37782.43098
150	37752.55156
151	37712.56252
152	37617.12957
153	37588.7673
154	37575.53068
155	37557.63268
156	37462.71821
157	37430.2503
158	37397.89685
159	37370.87026
160	37251.5004
161	37217.2271
162	37197.60666
163	37162.39799
164	37140.37112
165	37113.60431
166	37092.51768
167	37035.65593
168	37012.80269
169	36970.11218
170	36878.9162
171	36860.60648
172	36832.03847
173	36804.7675
174	36773.70876
175	36756.17787
176	36726.67343
177	36703.87406
178	36642.08916
179	36617.00757
180	36595.73322
181	36575.16056
182	36553.16027
183	36535.42907
184	36435.62833
185	36345.10114
186	36258.22772
187	36244.03259
188	36224.38351
189	36202.75429
190	36190.88086
191	36165.9397
192	36145.41339
193	36124.29421
194	36115.16056
195	36093.01935
196	36081.04054
197	36059.48195
198	36037.97191
199	35966.67056
200	35962.04058
201	35931.88241
202	35922.61308
203	35906.05619
204	35885.61208
205	35869.7954
206	35804.17504
207	35780.73159
208	35732.67861
209	35656.95659
210	35573.28447
211	35550.91306
212	35538.39343
213	35522.87372
214	35510.13297
215	35498.09532
216	35452.05222
217	35439.90086
218	35406.59615
219	35390.51639
220	35365.10128
221	35351.92404
222	35287.06057
223	35279.34842
224	35262.85584
225	35233.40282
226	35221.49252
227	35194.0484
228	35182.63114
229	35173.11277
230	35142.55438
231	35137.96944
232	35112.33449
233	35087.28225
234	35071.89893
235	35000.00097
236	34989.4851
237	34975.99405
238	34968.53511
239	34904.29166
240	34883.82024
241	34877.26175
242	34850.59474
243	34846.06665
244	34834.93806
245	34816.19661
246	34799.1747
247	34790.72163
248	34787.82289
249	34763.95683
250	34755.99869
251	34741.34409
252	34690.88279
253	34609.14448
254	34602.71992
255	34594.85167
256	34587.60551
257	34582.14547
258	34557.21512
259	34544.91799
260	34495.81383
261	34488.37845
262	34478.84149
263	34473.49407
264	34459.23338
265	34409.52008
266	34390.75325
267	34379.61723
268	34354.40134
269	34321.35325
270	34316.41737
271	34301.60738
272	34296.97373
273	34287.80627
274	34281.55294
275	34277.15141
276	34272.89412
277	34229.67875
278	34207.22815
279	34195.77084
280	34191.62123
281	34180.94839
282	34125.24099
283	34118.71389
284	34114.04257
285	34110.20477
286	34107.10059
287	34061.64635
288	34039.11192
289	34037.75223
290	33987.09478
291	33981.56022
292	33974.23546
293	33966.51442
294	33959.30936
295	33930.90139
296	33920.07487
297	33883.98818
298	33879.13616
299	33872.0781
21807
