iter	Passed	Remaining
0	18	5642
1	35	5258
2	59	5863
3	90	6696
4	130	7690
5	164	8045
6	182	7656
7	204	7460
8	234	7597
9	264	7659
10	293	7699
11	311	7479
12	332	7345
13	356	7285
14	376	7144
15	394	7002
16	407	6790
17	426	6676
18	443	6555
19	460	6445
20	476	6326
21	489	6187
22	503	6069
23	527	6063
24	535	5889
25	550	5802
26	563	5699
27	577	5613
28	592	5538
29	599	5399
30	628	5456
31	655	5487
32	672	5439
33	692	5418
34	714	5408
35	727	5333
36	745	5301
37	762	5260
38	772	5166
39	786	5112
40	799	5052
41	808	4965
42	818	4889
43	832	4843
44	850	4819
45	862	4763
46	881	4747
47	896	4706
48	906	4641
49	913	4566
50	933	4559
51	964	4601
52	980	4567
53	999	4555
54	1007	4489
55	1023	4461
56	1031	4398
57	1040	4340
58	1050	4291
59	1061	4244
60	1070	4192
61	1078	4138
62	1087	4089
63	1102	4063
64	1118	4043
65	1139	4041
66	1160	4034
67	1172	3999
68	1185	3968
69	1194	3923
70	1209	3899
71	1217	3853
72	1227	3817
73	1237	3778
74	1248	3744
75	1258	3709
76	1269	3675
77	1279	3642
78	1290	3609
79	1298	3570
80	1309	3540
81	1321	3513
82	1341	3507
83	1350	3473
84	1369	3463
85	1379	3432
86	1385	3391
87	1400	3373
88	1412	3347
89	1418	3310
90	1430	3284
91	1441	3259
92	1455	3239
93	1461	3203
94	1479	3193
95	1503	3195
96	1512	3165
97	1521	3136
98	1526	3100
99	1532	3064
100	1547	3049
101	1560	3028
102	1571	3005
103	1582	2981
104	1593	2958
105	1600	2929
106	1615	2913
107	1621	2883
108	1636	2867
109	1646	2844
110	1653	2815
111	1663	2792
112	1682	2783
113	1696	2767
114	1707	2747
115	1720	2729
116	1733	2711
117	1748	2696
118	1757	2673
119	1766	2649
120	1780	2633
121	1789	2610
122	1798	2588
123	1810	2569
124	1819	2546
125	1828	2524
126	1831	2495
127	1860	2500
128	1872	2481
129	1897	2481
130	1918	2474
131	1929	2456
132	1937	2432
133	1944	2408
134	1951	2385
135	1959	2362
136	1966	2339
137	1994	2340
138	2001	2318
139	2025	2315
140	2033	2292
141	2053	2284
142	2060	2262
143	2088	2262
144	2096	2240
145	2125	2241
146	2132	2219
147	2169	2228
148	2191	2221
149	2216	2216
150	2223	2193
151	2230	2171
152	2243	2155
153	2255	2138
154	2268	2121
155	2292	2116
156	2304	2098
157	2323	2087
158	2352	2086
159	2370	2074
160	2399	2071
161	2441	2079
162	2466	2072
163	2485	2061
164	2509	2053
165	2539	2050
166	2556	2035
167	2593	2037
168	2621	2031
169	2653	2029
170	2671	2015
171	2696	2006
172	2717	1995
173	2743	1986
174	2766	1975
175	2778	1957
176	2802	1947
177	2816	1930
178	2823	1908
179	2829	1886
180	2835	1864
181	2842	1842
182	2848	1821
183	2854	1799
184	2860	1778
185	2867	1757
186	3062	1850
187	3088	1839
188	3110	1826
189	3132	1813
190	3155	1800
191	3181	1789
192	3200	1774
193	3228	1764
194	3252	1751
195	3278	1739
196	3310	1730
197	3327	1714
198	3358	1704
199	3388	1694
200	3420	1684
201	3445	1671
202	3454	1650
203	3473	1634
204	3497	1620
205	3528	1609
206	3555	1597
207	3598	1591
208	3628	1579
209	3656	1567
210	3687	1555
211	3715	1542
212	3740	1527
213	3780	1519
214	3804	1504
215	3819	1485
216	3838	1468
217	3857	1450
218	3877	1434
219	3896	1416
220	3923	1402
221	3946	1386
222	3957	1366
223	3981	1350
224	3999	1333
225	4015	1314
226	4041	1299
227	4071	1285
228	4097	1270
229	4121	1254
230	4140	1236
231	4154	1217
232	4162	1196
233	4168	1175
234	4175	1154
235	4180	1133
236	4187	1113
237	4193	1092
238	4203	1072
239	4216	1054
240	4226	1034
241	4235	1015
242	4242	995
243	4249	975
244	4258	956
245	4268	936
246	4278	918
247	4289	899
248	4321	885
249	4342	868
250	4372	853
251	4398	837
252	4422	821
253	4444	804
254	4464	787
255	4491	772
256	4524	757
257	4549	740
258	4574	724
259	4598	707
260	4625	691
261	4643	673
262	4664	656
263	4687	639
264	4720	623
265	4751	607
266	4764	588
267	4776	570
268	4794	552
269	4813	534
270	4836	517
271	4854	499
272	4861	480
273	4868	461
274	4875	443
275	4881	424
276	4889	405
277	4895	387
278	4902	369
279	4909	350
280	4916	332
281	5056	322
282	5068	304
283	5083	286
284	5104	268
285	5130	251
286	5156	233
287	5184	216
288	5216	198
289	5235	180
290	5253	162
291	5273	144
292	5296	126
293	5317	108
294	5337	90
295	5348	72
296	5372	54
297	5394	36
298	5432	18
299	5447	0

