,surface,pieces,etage,has_ascenseur,has_balcon,has_chaffage,has_climatisation,has_gardien,has_jardin,has_parking,has_piscine,has_terrasse,latitude,longitude,price_per_m2,surface_per_piece,etage_x_ascenseur,type,contrat,gouvernerat
3142,83.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,4277.108433734939,27.666666666666668,0.0,285532.6189391474,285532.6189391474,277143.4970760234
2488,107.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
433,70.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.6267742,10.1550439,1142.857142857143,35.0,0.0,285532.6189391474,285532.6189391474,218196.17024373435
2046,138.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.854801741136,10.15862150003819,3188.4057971014495,34.5,1.0,285532.6189391474,285532.6189391474,293441.4203821656
371,64.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4512897,10.7355915,3500.0,32.0,1.0,285532.6189391474,285532.6189391474,300305.12820512813
3411,60.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,4166.666666666667,37.75,0.0,285532.6189391474,285532.6189391474,277143.4970760234
3926,51.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,3725.4901960784314,37.75,0.0,285532.6189391474,285532.6189391474,277143.4970760234
2009,90.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.80890174113605,10.176921547123952,1222.2222222222222,30.0,2.0,285532.6189391474,285532.6189391474,293441.4203821656
700,115.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8749751,10.2454267,3217.391304347826,28.75,0.0,285532.6189391474,285532.6189391474,320375.0034842321
3967,107.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4561,10.7376,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,300305.12820512813
644,107.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8245,10.6346,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,281505.570214618
3832,120.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3250.0,24.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
4100,195.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,1280.0,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1444,90.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7992041,10.1756221,2222.222222222222,30.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1508,98.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.7992041,10.1756221,2551.0204081632655,32.666666666666664,0.0,285532.6189391474,285532.6189391474,293441.4203821656
949,80.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8170699,10.1784812,2125.0,20.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3252,141.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2978.723404255319,35.25,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3812,240.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,1875.0,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
246,120.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4512897,10.7355915,3916.6666666666665,30.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
3231,107.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,277143.4970760234
734,91.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8913101,10.5852113,2967.032967032967,91.0,0.0,285532.6189391474,285532.6189391474,281505.570214618
505,150.0,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8507178,10.2829345,3000.0,37.5,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3447,63.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,5396.825396825397,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
807,100.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.719825,10.2192362,1600.0,25.0,0.0,285532.6189391474,285532.6189391474,218196.17024373435
2258,167.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.7178,10.5707,1257.4850299401198,83.5,3.0,285532.6189391474,285532.6189391474,281505.570214618
3610,58.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3793.103448275862,29.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2892,120.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,1250.0,40.0,0.0,285532.6189391474,285532.6189391474,277143.4970760234
978,56.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8599292,10.1531585,3392.839285714286,28.0,0.0,285532.6189391474,285532.6189391474,320375.0034842321
108,145.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8002068,10.1857757,3689.655172413793,72.5,0.0,285532.6189391474,285532.6189391474,293441.4203821656
4055,173.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3757.225433526012,43.25,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1740,85.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8456561,11.0935701,2176.470588235294,28.333333333333332,0.0,285532.6189391474,285532.6189391474,300305.12820512813
3691,107.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,277143.4970760234
3059,156.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.7643,10.8113,2756.4102564102564,52.0,0.0,285532.6189391474,285532.6189391474,309845.8833033952
4007,107.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,277143.4970760234
