,Model,MAE,RMSE,MAPE%,R2,Time_s
1,Random Forest (200),15570.79225929934,96114.50751629134,5.146607096316603,0.6640667125778055,2.3
2,CatBoost,15964.772368216341,99521.238181355,5.305567272035499,0.639830700525993,5.0
3,Extra Trees (200),16703.07315459465,100378.91125978218,5.617376083417487,0.6335960796853606,2.7
4,HistGradientBoosting,17226.861388420657,101021.72032473187,5.774920864931315,0.6288882800524029,2.1
5,GradientBoosting,17249.203644596433,101225.64111254804,5.823636604302634,0.6273885278282376,5.1
6,XGBoost,17740.684076316644,97211.6588695628,6.055858247702575,0.6563535527235629,2.1
7,Stacking Ensemble (top3 + Ridge),18487.765723523193,113950.12446135173,7.237324809771371,0.5278230770068739,0.0
8,LightGBM (baseline),18643.028453602208,96357.5568188972,6.4016662269907005,0.6623655836355261,0.0
9,HuberRegressor,61623.99662740091,485291.2120744719,29.231911281026964,-7.564065965726934,0.1
10,ElasticNet,112175.61800954213,664022.816111075,54.56575190586934,-15.033973234854713,0.0
11,Ridge (alpha=1),139696.77687204376,1617727.9503336656,80.03191882913654,-94.16694502355621,0.0
12,Lasso (alpha=10),139771.33039476548,1618876.1623350584,80.06609221541325,-94.3020859256205,0.0
