,surface,pieces,etage,prix,has_ascenseur,has_balcon,has_chaffage,has_climatisation,has_garage,has_gardien,has_jardin,has_parking,has_piscine,has_terrasse,gouvernerat,ville,type,contrat,latitude,longitude,price_per_m2,surface_per_piece,etage_x_ascenseur,nlp_transaction_negociable,nlp_transaction_urgent,nlp_transaction_first_owner_or_new_mentioned,nlp_transaction_developer_or_promoter_mentioned,nlp_transaction_legal_title_or_status_mentioned,nlp_transaction_legal_title_hint,nlp_property_subtype,nlp_property_furnished,nlp_property_semi_furnished,nlp_property_condition,nlp_property_orientation_mentioned,nlp_property_duplex_penthouse_garden_level_mentioned,nlp_comfort_air_conditioning,nlp_comfort_heating_mentioned,nlp_comfort_double_glazing_mentioned,nlp_comfort_finishing_quality_hint,nlp_location_neighborhood_or_zone,nlp_location_proximity_count,nlp_location_proximity_str,nlp_location_nuisance_or_negative_mentioned,nlp_usage_primary_residence_likely,nlp_usage_investment_likely,nlp_usage_furnished_rental_likely,nlp_standing_luxury_level,nlp_standing_features_count,nlp_standing_features_str,nlp_signals_listing_too_vague,nlp_signals_incoherence_price_vs_surface_hint,nlp_signals_spam_or_low_quality_hint,nlp_signals_extraction_confidence,vis_pool_likely_mean,vis_pool_likely_max,vis_garden_likely_mean,vis_garden_likely_max,vis_sea_view_likely_mean,vis_sea_view_likely_max,vis_furnished_likely_mean,vis_furnished_likely_max,vis_modern_renovation_likely_mean,vis_modern_renovation_likely_max,vis_luxury_visual_score_mean,vis_luxury_visual_score_max,vis_n_images,bge_pca_0,bge_pca_1,bge_pca_2,bge_pca_3,bge_pca_4,bge_pca_5,bge_pca_6,bge_pca_7,bge_pca_8,bge_pca_9,bge_pca_10,bge_pca_11,bge_pca_12,bge_pca_13,bge_pca_14,bge_pca_15,bge_pca_16,bge_pca_17,bge_pca_18,bge_pca_19,bge_pca_20,bge_pca_21,bge_pca_22,bge_pca_23,bge_pca_24,bge_pca_25,bge_pca_26,bge_pca_27,bge_pca_28,bge_pca_29,bge_pca_30,bge_pca_31
0,76.0,2.0,2.0,320000.0,,,1.0,1.0,,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,4210.526315789473,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,109.0,3.0,,385000.0,1.0,,1.0,1.0,1.0,,1.0,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3532.1100917431195,36.333333333333336,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,55.0,2.0,,140000.0,,,,,,,,,,,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2545.4545454545455,27.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,68.0,2.0,,200000.0,,,1.0,1.0,1.0,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2941.176470588235,34.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,200.0,2.0,4.0,390000.0,,,,,,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,1950.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,40.0,2.0,0.0,140000.0,,,,1.0,,,,,,,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3500.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,110.0,2.0,2.0,350000.0,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3181.818181818182,55.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,400.0,2.0,0.0,420000.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,1050.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,50.0,2.0,2.0,150000.0,,,,,,,,,,,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3000.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03928012,-0.21005622,-0.13531174,-0.17157839,-0.087741,0.09270127,-0.033966325,0.03801297,0.030855313,-0.04378085,-0.015341483,-0.08469921,0.004461761,-0.09612562,-0.052363344,0.05843757,0.009529978,0.04232462,-0.041479517,-0.0008523982,-0.025953276,-0.040635634,0.06446051,-0.015233719,0.004755653,-0.025517799,0.01052243,-0.04564287,-0.048987582,0.02245996,-0.0120967105,0.010097975
9,125.0,4.0,,450000.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,3600.0,31.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
