,prix
3142,355000.0
2488,238000.0
433,80000.0
2046,440000.0
371,224000.0
3411,250000.0
3926,190000.0
2009,110000.0
700,370000.0
3967,350000.0
644,300000.0
3832,390000.0
4100,249600.0
1444,200000.0
1508,250000.0
949,170000.0
3252,420000.0
3812,450000.0
246,470000.0
3231,210000.0
734,270000.0
505,450000.0
3447,340000.0
807,160000.0
2258,210000.0
3610,220000.0
2892,150000.0
978,189999.0
108,535000.0
4055,650000.0
1740,185000.0
3691,320000.0
3059,430000.0
4007,180000.0
543,400000.0
1625,322000.0
2444,350000.0
1944,370000.0
259,220000.0
811,250000.0
2061,292000.0
1721,185000.0
612,150000.0
1221,180000.0
2212,450000.0
1001,280000.0
485,340000.0
2229,325000.0
3705,690000.0
3865,190000.0
258,300000.0
386,480000.0
2554,190000.0
1736,280000.0
2836,335000.0
1661,370000.0
2906,380000.0
1547,650000.0
209,250000.0
3849,130000.0
2935,180000.0
1584,320000.0
2683,197000.0
2489,175000.0
596,230000.0
1802,600000.0
2107,310000.0
296,275400.0
1600,285000.0
507,370000.0
7,420000.0
3746,340000.0
3144,400000.0
2703,97000.0
2063,418400.0
3309,145000.0
3222,170000.0
2859,240000.0
1513,340000.0
4130,490000.0
2795,380000.0
790,140000.0
3336,160000.0
3572,430000.0
2018,325000.0
1104,526000.0
2745,180000.0
96,105000.0
43,185000.0
1094,210000.0
969,415000.0
903,165000.0
1363,140000.0
25,149000.0
2215,340000.0
2230,160000.0
679,220000.0
2095,150000.0
781,300000.0
2914,255000.0
3854,313250.0
1322,500000.0
1251,380000.0
1157,160000.0
3050,240000.0
3043,155000.0
965,240000.0
4012,180000.0
3836,85000.0
67,128000.0
2776,190000.0
3900,500000.0
1928,178000.0
1538,320000.0
2363,270000.0
31,350000.0
2116,490000.0
1064,570000.0
2915,115000.0
1034,420000.0
610,250000.0
3562,235000.0
570,395000.0
3943,190000.0
343,500000.0
1743,255000.0
3051,400000.0
678,380000.0
4137,90000.0
3129,250000.0
879,320000.0
3403,350000.0
2451,320000.0
3182,206000.0
1863,200000.0
56,350000.0
1516,280000.0
3957,245000.0
2545,18190.0
3996,590000.0
2127,150000.0
3689,330000.0
576,175000.0
915,335000.0
1056,89000.0
2494,240000.0
2485,453600.0
528,335000.0
176,404000.0
929,120000.0
422,190000.0
680,280000.0
1237,330000.0
1864,390000.0
1706,280000.0
1011,260000.0
572,275000.0
3212,265000.0
3410,620000.0
288,85000.0
2338,307000.0
2624,450000.0
1995,650000.0
1991,130000.0
1501,160000.0
3645,125000.0
177,340000.0
1804,175000.0
1268,350000.0
1594,240000.0
907,450000.0
1773,215000.0
3203,185000.0
2533,190000.0
370,290000.0
3521,165000.0
1735,180000.0
932,215000.0
729,400000.0
598,600000.0
4103,160000.0
1114,160000.0
2786,180000.0
4230,190000.0
2832,140000.0
3439,216000.0
1833,310000.0
141,350000.0
3508,395000.0
4153,246000.0
491,450000.0
665,300000.0
4119,185000.0
1116,250000.0
198,450000.0
2902,350000.0
654,148000.0
471,280000.0
1233,450000.0
3272,500000.0
759,165000.0
1295,280000.0
2187,220000.0
3021,90000.0
69,650000.0
2788,320000.0
3237,360000.0
2125,95000.0
195,140000.0
532,170000.0
3703,100000.0
874,140000.0
2365,380000.0
2249,420000.0
3673,490000.0
2830,30000.0
3647,380000.0
227,350000.0
812,289000.0
840,370000.0
555,265000.0
581,365000.0
3090,150000.0
2067,680000.0
1797,430000.0
990,150000.0
1023,210000.0
1334,340000.0
847,180000.0
905,390000.0
631,595000.0
3906,260000.0
1511,320000.0
2742,317000.0
162,250000.0
1942,265000.0
219,170000.0
1419,520000.0
1916,317000.0
2345,120000.0
3668,320000.0
1298,260000.0
925,140000.0
1692,443000.0
547,675000.0
1185,250000.0
1075,580000.0
3436,120000.0
4120,129000.0
568,210000.0
1097,89000.0
1450,250000.0
1499,450000.0
2008,185000.0
2618,150000.0
3143,215000.0
611,185000.0
3293,300000.0
3898,690000.0
1396,330000.0
2626,300000.0
742,140000.0
637,240000.0
3899,410000.0
3344,125000.0
1987,128000.0
1602,125000.0
48,390000.0
1782,185000.0
921,200000.0
3923,350000.0
756,235000.0
1558,280000.0
2275,200000.0
3119,365000.0
2214,406000.0
1747,410000.0
1220,340000.0
3839,175000.0
1799,300000.0
3580,410000.0
2359,490000.0
4219,120000.0
2576,220000.0
2800,340000.0
1228,190000.0
3921,240000.0
1837,315000.0
2368,210000.0
3827,150000.0
3109,295000.0
2216,290000.0
2913,360000.0
3456,260000.0
2142,190000.0
2597,580000.0
3810,200000.0
1407,580000.0
4201,407000.0
3243,420000.0
2285,355000.0
3253,530000.0
867,238000.0
926,120000.0
997,282000.0
4255,260000.0
1235,190000.0
1421,420000.0
210,165000.0
1555,165000.0
59,150000.0
2251,190000.0
1281,185000.0
4179,595000.0
1106,200000.0
765,430000.0
1996,440000.0
1123,350000.0
1078,285000.0
2802,125000.0
1841,390000.0
1886,250000.0
2693,240000.0
582,200000.0
2841,200000.0
1446,160000.0
940,145000.0
1080,375000.0
187,185000.0
2108,170000.0
3480,250000.0
2678,392000.0
1309,235000.0
2035,297000.0
4066,250000.0
226,185000.0
1490,160000.0
535,220000.0
1113,570000.0
2796,235000.0
697,280000.0
1504,290000.0
3416,160000.0
3853,170000.0
1809,240000.0
1037,348000.0
208,290000.0
2831,420000.0
565,320000.0
313,500000.0
601,615000.0
233,270000.0
1164,650000.0
1911,320000.0
3342,139000.0
1456,240000.0
111,255600.0
2260,285000.0
1089,320000.0
2747,358000.0
1871,315000.0
1171,152000.0
1413,170000.0
472,250000.0
4173,595000.0
3862,650000.0
1733,295000.0
1634,249000.0
4233,320000.0
361,285000.0
135,130000.0
1134,120000.0
2407,475000.0
1053,245000.0
3463,613800.0
22,365000.0
1707,290000.0
1288,400000.0
1458,195000.0
695,110000.0
420,400000.0
2157,480000.0
460,210000.0
1067,330000.0
87,380000.0
282,240000.0
3435,607000.0
1213,150000.0
2508,230000.0
4110,195000.0
1200,320000.0
859,137000.0
533,450000.0
3631,150000.0
1476,480000.0
1313,250000.0
3981,300000.0
3283,124020.0
4146,450000.0
1941,320000.0
4227,255000.0
2182,485000.0
3856,265000.0
4021,240000.0
4190,540000.0
3843,220000.0
942,160000.0
4116,426930.0
4235,490000.0
3012,180000.0
3475,350000.0
887,230000.0
4048,200000.0
685,370000.0
413,285000.0
789,135000.0
3092,390000.0
1976,490000.0
2947,290000.0
3162,220000.0
1603,195000.0
2292,540000.0
272,410000.0
3852,395000.0
521,385000.0
522,475000.0
1768,220000.0
350,385000.0
4074,180000.0
2780,350000.0
3210,465000.0
3064,400000.0
651,138000.0
1340,240000.0
3609,350000.0
3944,160000.0
1338,385000.0
1940,190000.0
2820,325000.0
3511,355000.0
168,365000.0
3952,650000.0
962,300000.0
945,180000.0
462,270000.0
1902,365000.0
328,290000.0
3820,170000.0
2172,215000.0
367,170000.0
3619,495000.0
3101,410000.0
2102,223000.0
2966,350000.0
772,80000.0
2767,240000.0
3793,380000.0
3259,390000.0
498,270000.0
1586,135000.0
435,320000.0
365,165000.0
1901,450000.0
276,160000.0
3697,582700.0
2151,585000.0
1977,340000.0
407,105000.0
1868,155000.0
3005,250000.0
2377,420000.0
844,160000.0
2436,335000.0
2509,100000.0
2117,435000.0
1427,250000.0
2007,320000.0
3633,320000.0
1698,270000.0
3965,150000.0
855,580000.0
3559,260000.0
78,250000.0
944,265000.0
199,385000.0
3872,168000.0
1493,180000.0
801,277000.0
2314,160000.0
2899,160000.0
1628,184600.0
231,200000.0
1579,110000.0
1850,485000.0
2743,150000.0
2585,119999.0
2161,178000.0
1889,360000.0
3984,240000.0
1503,270000.0
4086,600000.0
1143,175000.0
4210,420000.0
191,670000.0
104,390000.0
3049,550000.0
3289,550000.0
1278,250000.0
4286,620000.0
1515,110000.0
2865,165000.0
1509,165000.0
1408,360000.0
3136,195000.0
3632,180000.0
2073,235000.0
2735,475000.0
2398,288000.0
1771,100000.0
4185,260000.0
2503,410000.0
1519,145000.0
3509,650000.0
994,387700.0
464,320000.0
4115,450000.0
1361,360000.0
3324,450000.0
2709,175000.0
1236,500000.0
2326,207400.0
1552,400000.0
212,100000.0
1036,250000.0
4151,355000.0
900,200000.0
3914,300000.0
3369,420000.0
741,120000.0
3693,690000.0
3189,260000.0
3743,100000.0
1206,130000.0
509,450000.0
597,350000.0
2176,180000.0
981,285000.0
1367,277000.0
3698,330000.0
518,315000.0
1970,240000.0
767,420000.0
2627,635000.0
2751,369000.0
421,308000.0
123,175000.0
1920,495000.0
2026,352000.0
1659,290000.0
819,295000.0
100,185000.0
3695,135000.0
1283,120000.0
3931,300000.0
3127,365000.0
3667,480000.0
1103,400000.0
2426,340000.0
3003,210000.0
3766,190000.0
1616,230000.0
3811,170000.0
3453,180000.0
3176,490000.0
982,200000.0
456,150000.0
3522,440000.0
3513,350000.0
2850,130000.0
381,220000.0
3975,340000.0
1949,350000.0
2371,435000.0
1010,310000.0
2760,216000.0
4284,220000.0
662,265000.0
1560,170000.0
1485,170000.0
3848,340000.0
1649,270000.0
3200,230000.0
3919,370000.0
3910,140000.0
2122,130000.0
845,260000.0
542,190000.0
91,370000.0
2515,150000.0
2941,125000.0
1196,120000.0
1102,350000.0
4150,388400.0
1623,190000.0
3536,330000.0
2118,420000.0
2430,185000.0
2033,497000.0
1048,371000.0
2851,380000.0
2946,145000.0
898,130000.0
1489,320000.0
237,550000.0
1819,390000.0
3949,170000.0
1133,390000.0
3394,360000.0
2721,245700.0
163,230000.0
2553,200000.0
1695,175000.0
252,273000.0
3566,280000.0
2296,400000.0
1795,285000.0
930,85000.0
2713,300000.0
1565,170000.0
1914,150000.0
2852,180000.0
3481,245000.0
2792,300000.0
4280,190000.0
1090,360000.0
3545,405000.0
2438,420000.0
1181,220000.0
593,412000.0
677,378000.0
41,380000.0
1500,560000.0
2297,230000.0
1966,295000.0
1793,270000.0
243,220000.0
1124,260000.0
1339,205000.0
3720,370000.0
2716,180000.0
1612,490000.0
261,250000.0
1470,550000.0
3192,93000.0
2647,205000.0
834,298000.0
3165,420000.0
1535,260000.0
3085,155000.0
1482,370000.0
340,85000.0
1731,170000.0
748,220000.0
1749,140000.0
480,110000.0
2115,175000.0
3106,315000.0
3592,255000.0
783,80000.0
4094,175000.0
1724,425000.0
2593,380000.0
3313,320000.0
1983,210000.0
3461,495000.0
1590,370000.0
2636,165000.0
2609,350000.0
3376,220000.0
1644,170000.0
1271,280000.0
1848,430000.0
1127,540000.0
626,198000.0
347,207000.0
1701,278000.0
2704,145000.0
2022,450000.0
979,100000.0
1425,170000.0
4027,170000.0
3717,380000.0
911,280000.0
4166,320000.0
632,365000.0
1611,320000.0
445,190000.0
617,525000.0
1997,320000.0
2381,190000.0
2495,114000.0
1853,315000.0
3224,255000.0
3544,390000.0
1467,165000.0
2950,230000.0
2134,170000.0
2041,365000.0
353,215000.0
1232,85000.0
613,550000.0
2933,216200.0
1925,130000.0
2256,210000.0
3960,220000.0
2490,165000.0
4013,120000.0
57,320000.0
1875,280000.0
1982,335000.0
3180,130000.0
1253,150000.0
3476,100000.0
2462,345000.0
2246,345000.0
2027,491400.0
2905,260000.0
4068,450000.0
1683,150000.0
560,320000.0
707,355000.0
3351,260000.0
424,110000.0
1093,260000.0
1377,510000.0
647,450000.0
72,360000.0
2541,280000.0
1744,380000.0
3968,250000.0
1005,185000.0
620,345000.0
2354,190000.0
3903,99000.0
553,395000.0
3958,175000.0
2680,380000.0
3734,250000.0
2171,345000.0
2791,308000.0
998,260000.0
1999,340000.0
1559,155000.0
4016,135000.0
1398,240000.0
3888,320000.0
2075,223000.0
4272,335000.0
2234,558000.0
2739,350000.0
440,150000.0
508,686000.0
1100,200000.0
589,260000.0
1812,450000.0
649,475000.0
3875,460000.0
4202,396000.0
2236,510000.0
4133,195000.0
1933,590478.0
1457,340000.0
1957,360000.0
660,400000.0
630,130000.0
672,200000.0
1249,180000.0
2470,325000.0
482,500000.0
2669,250000.0
3568,395000.0
1790,197000.0
1464,160000.0
2781,185000.0
3135,215000.0
2288,372000.0
856,210000.0
1225,470000.0
1190,130000.0
4268,350000.0
530,220000.0
2653,220000.0
49,690000.0
1653,140000.0
858,245000.0
1658,250000.0
1072,565000.0
719,200000.0
1926,265000.0
2081,280000.0
3066,185000.0
4121,160000.0
2225,98000.0
3010,200000.0
2087,125000.0
3033,160000.0
1729,85000.0
3018,210000.0
3822,150000.0
4050,390000.0
2028,530000.0
1730,380000.0
1643,255000.0
2867,200000.0
1386,235000.0
1400,250000.0
1195,295000.0
4023,185000.0
1477,240000.0
1870,285000.0
3672,320000.0
2237,147000.0
297,300000.0
2846,230000.0
1264,430000.0
1954,140000.0
958,500000.0
4025,280000.0
3597,170000.0
1783,350000.0
2324,250000.0
1375,230000.0
1286,255000.0
4281,510000.0
349,145000.0
1369,370000.0
3455,250000.0
643,400000.0
1718,430000.0
1884,390000.0
669,285000.0
3851,435000.0
2029,280000.0
3391,240000.0
1676,166000.0
1179,410000.0
4271,451000.0
2123,265000.0
1836,149000.0
1589,250000.0
3257,450000.0
2168,125000.0
3794,120000.0
1358,295000.0
786,390000.0
3804,250000.0
140,640000.0
788,250000.0
323,280000.0
2691,178500.0
714,348600.0
2516,185000.0
4064,281945.0
3928,390000.0
2250,186000.0
3512,561000.0
2622,450000.0
618,360000.0
406,140000.0
1898,115000.0
1880,135000.0
1751,245000.0
1865,137000.0
2333,320000.0
497,180000.0
2167,155000.0
342,343000.0
3537,165000.0
4223,80000.0
782,395000.0
1323,120000.0
3496,490000.0
4241,360000.0
303,340000.0
3380,165000.0
3644,160000.0
664,379000.0
1177,170000.0
1244,160000.0
2360,250000.0
3514,392000.0
3091,190000.0
3764,210000.0
3556,293000.0
84,155000.0
3000,160000.0
941,240000.0
961,450000.0
841,160000.0
2425,308000.0
2687,235000.0
3261,395000.0
1895,400000.0
3728,285000.0
4215,380000.0
290,105000.0
3409,232500.0
3382,100000.0
1824,660000.0
3490,420000.0
3842,90000.0
604,490000.0
2911,235000.0
916,420000.0
4147,314000.0
2369,260000.0
1099,150000.0
1088,260000.0
4062,300000.0
2803,250000.0
1626,240000.0
2476,385000.0
821,320000.0
2082,250000.0
2422,230000.0
4081,600000.0
3348,350000.0
3464,355000.0
1302,490000.0
1000,280000.0
3422,195000.0
1960,280000.0
1507,328719.0
1479,87000.0
18,690000.0
1639,80000.0
1669,360000.0
493,110000.0
1125,340000.0
1405,390000.0
3194,135000.0
3056,89000.0
2277,408000.0
2374,190000.0
3736,120000.0
2833,140000.0
584,240000.0
2245,100000.0
687,350000.0
3641,180000.0
2198,168000.0
3922,220000.0
1610,450000.0
2674,135000.0
3084,270000.0
1009,193000.0
3320,480000.0
2220,245000.0
360,235000.0
3551,185000.0
3879,250000.0
2522,155000.0
1679,325000.0
1310,135000.0
2828,160000.0
3383,240000.0
4245,305000.0
2308,270000.0
344,155000.0
986,143000.0
3501,306000.0
743,210000.0
3022,275000.0
1673,210000.0
2706,312000.0
1866,280000.0
113,195000.0
1439,300000.0
1779,220000.0
1241,510000.0
1142,185000.0
2320,350000.0
1216,120000.0
1198,285000.0
85,490000.0
1520,635000.0
2736,165000.0
1382,250000.0
3881,430000.0
668,210000.0
1014,330000.0
128,420000.0
1365,370000.0
3256,320000.0
2644,330000.0
891,274000.0
2540,420000.0
1360,165000.0
307,240000.0
3961,200000.0
383,350000.0
150,320000.0
1317,180000.0
1453,430000.0
1854,600000.0
2580,135000.0
426,315000.0
494,620000.0
1207,179999.0
2909,98000.0
2881,220000.0
1208,600000.0
3123,365000.0
3338,255075.0
2975,85000.0
1816,130000.0
1239,350000.0
2866,320000.0
2094,457000.0
275,160000.0
489,695000.0
1981,650000.0
1229,130000.0
690,130000.0
3450,244000.0
3241,245000.0
1881,675000.0
1952,450000.0
1784,185000.0
2985,205061.0
2771,320000.0
1058,315000.0
118,550000.0
1024,170000.0
3132,353000.0
