id,promotion_id,titre,url,ville,region,quartier,adresse,type_bien,standing,statut_construction,date_livraison,prix,prix_text,prix_type,prix_m2,surface,surface_text,nombre_pieces,nombre_chambres,nombre_sdb,description_courte,description_complete,caracteristiques,equipements,equipements_complets,images,images_completes,video_url,video_id,videos_completes,has_video,plans,logo_agence,nom_agence,caracteristiques_detaillees,localisation_exacte,informations_promotion,conditions_vente,promoteur_info,contact_info,date_scraping,page_source,is_valid
4164,4164,Résidence EMNA 3 Nouvelle Soukra,https://www.mubawab.tn/fr/p/4164/details,La Marsa,,Ain Zaghouan Nord,Ain Zaghouan Nord à La Marsa,Résidence,Haut standing,Finalisé,,510000.0,"À partir de 
							510 000 TND",À partir de,0,0,,0,0,0,Résidence EMNA 3 Nouvelle Soukra,Écoles Hôpitaux,,,Spa,https://www.mubawab-media.com/promotion/4/164F/logo/s/Logo-KAYEN-2025%20%281%29_79250725.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_01_78839312.avif,https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_01_78839312.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/WhatsApp%20Image%202024-08-21%20%C3%A0%2013.00.59_f98fe257_78839313.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_02_78839314.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_03_78839315.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_04_78839316.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_05_78839317.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_06_78839318.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_07_78839319.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_08_78839320.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_09_78839321.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/WhatsApp%20Image%202024-09-06%20%C3%A0%2009.50.59_c17fd1de_78839322.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_10_78839323.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_11_78839324.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20jour_12_78839325.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20nuit_01%20%281%29_78839326.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20nuit_02%20%281%29_78839327.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/rendu%20nuit_03%20%281%29_78839328.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/WhatsApp%20Image%202024-08-21%20%C3%A0%2013.03.56_a14b51da_78839329.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/WhatsApp%20Image%202024-08-21%20%C3%A0%2013.02.42_e9826faf_78839330.avif; https://www.mubawab-media.com/promotion/4/164F/pictures/h/WhatsApp%20Image%202024-09-05%20%C3%A0%2017.11.11_87d28ee0_78839331.avif,,,https://www.youtube.com/embed/QXaOQTF_0WQ?wmode=opaque&rel=0; https://www.youtube.com/watch?v=QXaOQTF_0WQ,False,,https://www.mubawab-media.com/promotion/4/164F/logo/s/Logo-KAYEN-2025%20%281%29_79250725.avif,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.372058,search,True
3772,3772,Carthage centre - Centre commercial...,https://www.mubawab.tn/fr/p/3772/details,Tunis,,Bab Bhar,Bab Bhar à Tunis,Bureau,Haut standing,Finalisé,,308000.0,"À partir de 
							308 000 TND",À partir de,0,0,,0,0,0,Carthage centre - Centre commercial...,Écoles Hôpitaux,,,Spa; Sécurité,https://www.mubawab-media.com/promotion/3/772F/logo/s/t%C3%A9l%C3%A9chargement%20%2824%29_40362243.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/2%20%281%29_40362215.avif,https://www.mubawab-media.com/promotion/3/772F/pictures/h/2%20%281%29_40362215.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/IMG_1748_40362218.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/Carthage2_40362219.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/IMG_1732_40362222.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/IMG_1814_40362223.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/IMG_1813_40362224.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/2%20%2818%29_40362225.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/19%20%281%29_40362226.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/r_View01%20-%20copie_40362227.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/r_View03_40362228.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/r_View02_40362229.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/resto_40362230.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/open_00_40362231.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/parking_40362236.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/Carthage4%20%282%29_40362237.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/9%20%2813%29_40362240.avif; https://www.mubawab-media.com/promotion/3/772F/pictures/h/carthage%20center_40362241.avif,,,https://www.youtube.com/embed/mzLQpjz7haM?wmode=opaque&rel=0; https://www.youtube.com/watch?v=mzLQpjz7haM,False,,https://www.mubawab-media.com/promotion/3/772F/logo/s/t%C3%A9l%C3%A9chargement%20%2824%29_40362243.avif,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.393359,search,True
4458,4458,Résidence ÉDEN - Les Jardins de Cart...,https://www.mubawab.tn/fr/p/4458/details,Carthage,,Jardins de Carthage,Les Jardins de Carthage à Le Kram,Résidence,Haut standing,En cours de construction,,540000.0,"À partir de 
							540 000 TND",À partir de,0,0,,0,0,0,Résidence ÉDEN - Les Jardins de Cart...,Écoles Hôpitaux,Jardin,,Climatisation; Parking; Isolation; Jardin; Fibre optique; Ascenseur; Chauffage; Spa; Double vitrage; Sécurité,https://www.mubawab-media.com/promotion/4/458F/logo/s/LOGO-ICHBILIA_page-0001_80757496.avif,https://www.mubawab-media.com/promotion/4/458F/pictures/h/048%20copie_80758753.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/Ichbilia_EDEN_80758752.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/SALON%203D_80757483.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/CUISINE%203D_80757494.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/SALON%20V2%203D_80757484.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/SUITE%20PARENTALE%203D_80757485.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/BLOC%20B%20%28S%2B2%29%20Type%201_80757486.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/BLOC%20B%20%28S%2B2%29%20Type%202_80757487.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/BLOC%20C%20%28S%2B2%29%20Type%201_80757488.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/BLOC%20C%20%28S%2B2%29%20Type%202_80757489.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/BLOC%20C%20%28S%2B2%29%20Type%203_80757490.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/BLOC%20C%20%28S%2B2%29%20Type%204_80757491.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/BLOC%20C%20%28S%2B3%29%20Type%201_80757492.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/BLOC%20C%20%28S%2B3%29%20Type%202_80757493.avif; https://www.mubawab-media.com/promotion/4/458F/pictures/h/localisation%20EDEN_80757495.avif,,,,False,,https://www.mubawab-media.com/promotion/4/458F/logo/s/LOGO-ICHBILIA_page-0001_80757496.avif,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.405751,search,True
4340,4340,Résidence HEDI 3 à Boumhel Bassatine...,https://www.mubawab.tn/fr/p/4340/details,Boumhel,,Bou Mhel,Bou Mhel à Boumhel Bassatine,Résidence,Haut standing,En cours de construction,,190000.0,"À partir de 
							190 000 TND",À partir de,0,0,,0,0,0,Résidence HEDI 3 à Boumhel Bassatine...,Écoles Hôpitaux,,,Climatisation; Parking; Ascenseur; Chauffage; Spa,https://www.mubawab-media.com/promotion/4/340F/logo/s/logo_79962347.avif,https://www.mubawab-media.com/promotion/4/340F/pictures/h/01%20%281%29_79962344.avif; https://www.mubawab-media.com/promotion/4/340F/pictures/h/02%20%281%29_79962345.avif; https://www.mubawab-media.com/promotion/4/340F/pictures/h/03%20%281%29_79962346.avif,,,,False,,https://www.mubawab-media.com/promotion/4/340F/logo/s/logo_79962347.avif,,"{""nombre_appartements"": ""34""}",{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.419024,search,True
3938,3938,Résidence Fleur de Lys - Cité El Fao...,https://www.mubawab.tn/fr/p/3938/details,Ariana,,Jardins d'El Menzah 2,Les Jardins d'El Menzah 2 à Ariana Ville,Résidence,Haut standing,En cours de construction,,185000.0,"À partir de 
							185 000 TND",À partir de,0,0,,0,0,0,Résidence Fleur de Lys - Cité El Fao...,Écoles Hôpitaux,Jardin,,Parking; Jardin; Ascenseur; Spa; Sécurité,https://www.mubawab-media.com/promotion/3/938F/logo/s/393736698_924624112405382_7760105151623056868_n_60455685.avif,https://www.mubawab-media.com/promotion/3/938F/pictures/h/1000016496_60455383.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7790_60455385.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7808_60455386.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7807_60455387.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7789%20%281%29_60455388.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7835%20%281%29_60455389.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7838_60455390.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7825_60455391.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7817_60455392.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7804_60455393.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7803_60455394.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7802%20%281%29_60455395.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7792-Enhanced-NR_60455396.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7791-Enhanced-NR_60455397.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7788%20%281%29_60455398.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7787%20%281%29_60455399.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7811%20%281%29_60457488.avif; https://www.mubawab-media.com/promotion/3/938F/pictures/h/IMG_7812_60457490.avif,,,,False,,https://www.mubawab-media.com/promotion/3/938F/logo/s/393736698_924624112405382_7760105151623056868_n_60455685.avif,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.425813,search,True
4034,4034,Résidence Le Palais aux jardins de...,https://www.mubawab.tn/fr/p/4034/details,Carthage,,Jardins de Carthage,Les Jardins de Carthage à Le Kram,Résidence,Haut standing,En cours de construction,,370000.0,"À partir de 
							370 000 TND",À partir de,0,0,,0,0,0,Résidence Le Palais aux jardins de...,Écoles Hôpitaux,Jardin,,Parking; Jardin; Ascenseur; Spa; Salle de sport,https://www.mubawab-media.com/promotion/4/034F/logo/s/LOGO%20GROUPE%20KETATA_79235874.avif; https://www.mubawab-media.com/promotion/4/034F/pictures/h/Palais%204_00000_81748051.avif,https://www.mubawab-media.com/promotion/4/034F/pictures/h/Palais%204_00000_81748051.avif; https://www.mubawab-media.com/promotion/4/034F/pictures/h/Capture%20d%27%C3%A9cran%202025-12-22%20114548_81739522.avif; https://www.mubawab-media.com/promotion/4/034F/pictures/h/le%20palais_0003%2B_74496447.avif; https://www.mubawab-media.com/promotion/4/034F/pictures/h/Capture%20d%27%C3%A9cran%202025-12-22%20114817_81739523.avif; https://www.mubawab-media.com/promotion/4/034F/pictures/h/Capture%20d%27%C3%A9cran%202025-12-22%20114750_81739524.avif; https://www.mubawab-media.com/promotion/4/034F/pictures/h/Capture%20d%27%C3%A9cran%202025-12-22%20114522_81739525.avif,,,https://www.youtube.com/embed/gKBy7OM6jsE?wmode=opaque&rel=0; https://www.youtube.com/watch?v=gKBy7OM6jsE,False,,https://www.mubawab-media.com/promotion/4/034F/logo/s/LOGO%20GROUPE%20KETATA_79235874.avif,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.433644,search,True
4082,4082,LOTISSEMENT VIABILISE MOHAMEDIA,https://www.mubawab.tn/fr/p/4082/details,Mohammedia,,Cité Bou Akroucha,Cité Bou Akroucha à Mohamadia,Terrain,Économique,En cours de construction,,49000.0,"À partir de 
							49 000 TND",À partir de,418.8034188034188,117.0,117m²,0,0,0,LOTISSEMENT VIABILISE MOHAMEDIA,Écoles Hôpitaux,,,Spa,https://www.mubawab-media.com/promotion/4/082F/logo/s/t%C3%A9l%C3%A9chargement_77478269.avif,https://www.mubawab-media.com/promotion/4/082F/pictures/h/Capture_77082810.avif; https://www.mubawab-media.com/promotion/4/082F/pictures/h/lotissement%20mhamdia%202023_77082811.avif,,,,False,,https://www.mubawab-media.com/promotion/4/082F/logo/s/t%C3%A9l%C3%A9chargement_77478269.avif,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.434645,search,True
4343,4343,Résidence Aicha 2 Ain zaghouan,https://www.mubawab.tn/fr/p/4343/details,La Marsa,,Ain Zaghouan Nord,Ain Zaghouan Nord à La Marsa,Appartement,Haut standing,En cours de construction,,400000.0,"À partir de 
							400 000 TND",À partir de,0,0,,0,0,0,"Haut standing, En cours de construction",Écoles Hôpitaux,,,Climatisation; Isolation; Jardin; Ascenseur; Spa; Sécurité,https://www.mubawab-media.com/promotion/4/343F/logo/s/CV%20Verso_79973476.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/RESIDENCE-AICHA-2-1024x768%20%281%29_79973449.avif,https://www.mubawab-media.com/promotion/4/343F/pictures/h/RESIDENCE-AICHA-2-1024x768%20%281%29_79973449.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/RESIDENCE-AICHA-3_79973447.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1544_80113515.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1546_80113516.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1547_80113517.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1549_80113518.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1555_80113519.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1556_80113520.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1557_80113521.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1558_80113522.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1565_80113523.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1568_80113524.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1570_80113525.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1571_80113526.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1578_80113527.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1579_80113528.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1580_80113529.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1581_80113530.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1601_80113531.avif; https://www.mubawab-media.com/promotion/4/343F/pictures/h/IMG_1611_80113532.avif,,,https://www.youtube.com/embed/dZDXXM-8iq4?wmode=opaque&rel=0; https://www.youtube.com/watch?v=dZDXXM-8iq4,False,,https://www.mubawab-media.com/promotion/4/343F/logo/s/CV%20Verso_79973476.avif,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.439539,search,True
4374,4374,Résidence FATMA à Sousse Jaouhara,https://www.mubawab.tn/fr/p/4374/details,Sousse,,,Sousse Jaouhara,Résidence,Haut standing,Finalisé,,225000.0,"À partir de 
							225 000 TND",À partir de,0,0,,0,0,0,Résidence FATMA à Sousse Jaouhara,Écoles Hôpitaux,,,Parking; Spa,https://www.mubawab-media.com/business/12/191F/s/logo_80140984.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/490372002_1203723071755295_1344749261296138073_n_80141113.avif,https://www.mubawab-media.com/promotion/4/374F/pictures/h/490372002_1203723071755295_1344749261296138073_n_80141113.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/App.0-1_80243033.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/490521714_1203723311755271_2385834928280733409_n_80141114.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/484081835_1175046901289579_8588444157730302789_n_80141116.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/482242294_1176547797806156_8236154194527588077_n_80141117.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/483909997_1175046847956251_5110045772258954231_n_80141115.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/491400497_1203724655088470_2248565831909332026_n_80141123.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/488569417_1196395039154765_4306749625644171080_n_80141127.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/488213561_1192357786225157_4192744304922501652_n_80141124.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/490192532_1203723105088625_2478354660416392568_n_80141118.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/490587626_1201233182004284_1212327759449851074_n_80141119.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/490592198_1201233145337621_2302644530862060203_n_80141120.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/488908347_1198596855601250_5952034342135426940_n_80141121.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/490454994_1203723068421962_4656543396096603916_n_80141122.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/486948086_1187592120035057_2047649956542270659_n_80141125.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/486665757_1187592090035060_6791125111915232264_n_80141126.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/490221684_1201232995337636_6322910037815525888_n_80141128.avif; https://www.mubawab-media.com/promotion/4/374F/pictures/h/490463229_1203723358421933_9110032043773479255_n_80141129.avif,,,https://www.youtube.com/embed/Ra1YeXpWekc?wmode=opaque&rel=0; https://www.youtube.com/watch?v=Ra1YeXpWekc,False,,https://www.mubawab-media.com/business/12/191F/s/logo_80140984.avif,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.447937,search,True
4427,4427,Résidence Omrane 16- Élégance à Riad...,https://www.mubawab.tn/fr/p/4427/details,Raoued,,Cité el Ghaze,Cité el Ghazela à Raoued,Résidence,Haut standing,En cours de construction,,369000.0,"À partir de 
							369 000 TND",À partir de,0,0,,0,0,0,Résidence Omrane 16- Élégance à Riad...,Écoles Hôpitaux,,,Terrasse; Climatisation; Isolation; Chauffage; Ascenseur; Spa; Double vitrage; Sécurité,https://www.mubawab-media.com/business/12/631F/s/470185209_989006219925080_6333395753146662232_n_80501363.avif,https://www.mubawab-media.com/promotion/4/427F/pictures/h/O16%20project%20nuit%2001_80564332.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/Copy%20of%20O16%20project%2002_80500310.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/Copy%20of%20O16%20project%20nuit%2002_80500311.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/8_80500312.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/9_80500313.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/10_80500314.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/11_80500315.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/12_80500316.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/13_80500317.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/14_80500318.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/16_80500319.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/17_80500320.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/19_80500321.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/21_80500322.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/22_80500323.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/25_80500324.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/26_80500325.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/28_80500326.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/IMG-20250508-WA0012_80500327.avif; https://www.mubawab-media.com/promotion/4/427F/pictures/h/IMG-20250508-WA0015_80500328.avif,,,,False,,,,{},{},{},{},{},"{""formulaire_contact"": ""Disponible""}",2026-02-01T17:54:44.449934,search,True
