id,titre,url,region,ville,quartier,adresse,type_terrain,vocation,prix,prix_text,prix_m2,surface,surface_text,situation_juridique,viabilisation,description_courte,description_complete,equipements,equipements_detaille,images,caracteristiques,localisation,informations_supplementaires,contact_info,date_scraping,page_source,is_valid
8291826,Terrain à vendre,https://www.mubawab.tn/fr/a/8291826/terrain-%C3%A0-vendre,,Hammamet,,Hammamet,Terrain,,0,Prix à consulter,0,11072.0,"11072
						m²",,,"Prix à consulter Terrain à vendre Hammamet, Hammamet 11072 m² Contacter Appelez WhatsApp","À vendre terrain de promotion d’une superficie totale de 11 072 m², idéal pour projet immobilier ou investissement.Réf : 455aEmplacement : Barakert SahelSuperficie : 11 072 m²Prix : 700 DT / m²Vocation : Terrain de promotionSituation juridique : Claire",,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/291/826F/h/622652044_1478311594295381_7042592476650573866_n_81848877.avif; https://www.mubawab-media.com/business/8/884F/s/logo_33802151.avif; https://www.mubawab-media.com/ad/8/288/368F/m/7b627402-2bad-47ed-bb58-2aff86656aa7%20%281%29_81805236.avif; https://www.mubawab-media.com/ad/8/005/062F/m/426886681_1829271887578573_1941391069504892393_n_81600253.avif; https://www.mubawab-media.com/ad/7/616/043F/m/1e782b83-891b-4f9a-85d2-0ec0763e8bcb_80441754.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Lots de villa""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}",{},{},2026-01-27T20:08:38.687922,search,True
8143117,Terrain BADIRA,https://www.mubawab.tn/fr/a/8143117/terrain-badira,,Hammamet,Hammamet Nord,"Hammamet Nord, Hammamet",Terrain,,0,Prix à consulter,0,360.0,"360
						m²",,,"Prix à consulter Terrain BADIRA Hammamet Nord, Hammamet 360 m² Contacter Appelez WhatsApp","Terrain à Vendre – Hammamet NordPas Loin de l’hôtel La Badira, dans un quartier résidentiel recherché de Hammamet Nord, l’agence vous propose un terrain constructible idéalement situé.Localisation : À proximité immédiate de la mer et des plus belles résidences de la région.Superficie : 360 m²Prix : 1 500 DT/m²* Emplacement stratégique* Environnement calme et sécurisé*Idéal pour une villa de standing",,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/143/117F/h/tirran_80279329.avif; https://www.mubawab-media.com/business/6/601F/s/1_80597795.avif; https://www.mubawab-media.com/ad/7/984/424F/m/98c2ba93-cf58-4920-901b-3edfd8912835_78700741.avif; https://www.mubawab-media.com/ad/8/120/921F/m/4_80055296.avif; https://www.mubawab-media.com/ad/8/262/642F/m/tirran_81525024.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Agricole""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}","{""type_precis"": ""Constructible""}",{},2026-01-27T20:08:38.704074,search,True
8120921,Terrain à Sidi Mahersi,https://www.mubawab.tn/fr/a/8120921/terrain-%C3%A0-sidi-mahersi,,Hammamet,Hammamet Nord,"Hammamet Nord, Hammamet",Terrain,,0,Prix à consulter,0,574.0,"574
						m²",,,"Prix à consulter Terrain à Sidi Mahersi Hammamet Nord, Hammamet 574 m² Contacter Appelez WhatsApp","À Vendre – Terrain à Sidi Mahersi, Hammamet NordOpportunité à saisir ! Un terrain constructible de 574 m², idéalement situé à Sidi Mahersi, dans un quartier résidentiel calme et recherché à Hammamet Nord.Emplacement stratégique, proche de la mer et des commodités.Prix : 1 400 DT/m²Parfait pour construire une villa de standing dans un environnement paisible et privilégié.",,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/120/921F/h/4_80055296.avif; https://www.mubawab-media.com/ad/8/120/921F/h/logo_80055298.avif; https://www.mubawab-media.com/business/6/601F/s/1_80597795.avif; https://www.mubawab-media.com/ad/7/984/424F/m/98c2ba93-cf58-4920-901b-3edfd8912835_78700741.avif; https://www.mubawab-media.com/ad/8/143/117F/m/tirran_80279329.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Groupement d'habitation, Lots de villa""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}","{""type_precis"": ""Constructible""}",{},2026-01-27T20:08:38.706094,search,True
8247818,Terrain à vendre à hammamet,https://www.mubawab.tn/fr/a/8247818/terrain-%C3%A0-vendre-%C3%A0-hammamet,,Hammamet,,Hammamet,Terrain,,0,Prix à consulter,0,500.0,"500
						m²",,,"Prix à consulter Terrain à vendre à hammamet Hammamet, Hammamet 500 m² Contacter Appelez WhatsApp",A vendre un terrain situé à Chraf HammametSuperficie : 500 m²Prix : 300 DT / m²,,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/247/818F/h/2_81363529.avif; https://www.mubawab-media.com/business/6/601F/s/1_80597795.avif; https://www.mubawab-media.com/ad/8/268/550F/m/photo_00_81593577.avif; https://www.mubawab-media.com/ad/8/211/216F/m/538804868_1110697347826570_6217365534800585152_n_80977214.avif; https://www.mubawab-media.com/ad/8/198/068F/m/538804868_1110697347826570_6217365534800585152_n_81017262.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Agricole, Groupement d'habitation, Lots de villa""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}",{},{},2026-01-27T20:08:38.711698,search,True
8262642,"Terrain à Yassmine Hammamet, Carthage Land",https://www.mubawab.tn/fr/a/8262642/terrain-%C3%A0-yassmine-hammamet-carthage-land,,Yasmine Hammamet,,Yasmine Hammamet,Terrain,,0,Prix à consulter,0,344.0,"344
						m²",,,"Prix à consulter Terrain à Yassmine Hammamet, Carthage Land Yasmine Hammamet, Hammamet 344 m² Contacter Appelez WhatsApp","terrain vendre - Yassmine Hammamet .l'agence La Clé Immobilier International vous propose un terrain exceptionnel à vendre , situé dans le prestigieux quartier résidentiel de Yassmine Hammamet, pas loin de Carthage Land*Superficie : 344 mettre carréePrix : 1500 DT / mettreUn emplacement rare , idéale pour un projet résidentiel de haut standing dans l'une des zones les plus recherchées de Hammamet",,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/262/642F/h/tirran_81525024.avif; https://www.mubawab-media.com/business/6/601F/s/1_80597795.avif; https://www.mubawab-media.com/ad/7/984/424F/m/98c2ba93-cf58-4920-901b-3edfd8912835_78700741.avif; https://www.mubawab-media.com/ad/8/143/117F/m/tirran_80279329.avif; https://www.mubawab-media.com/ad/8/120/921F/m/4_80055296.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Agricole, Commercial, Groupement d'habitation, Industriel, Lots de villa""}","{""latitude"": ""36.36884580546297"", ""longitude"": ""10.532301285095215""}",{},{},2026-01-27T20:08:38.718166,search,True
8230640,Terrain à Besbasia,https://www.mubawab.tn/fr/a/8230640/terrain-%C3%A0-besbasia,,Hammamet,Hammamet Sud,"Hammamet Sud, Hammamet",Terrain,,0,Prix à consulter,0,7976.0,"7976
						m²",,,"Prix à consulter Terrain à Besbasia Hammamet Sud, Hammamet 7976 m² Contacter Appelez WhatsApp","À vendre – Terrain stratégique à Besbasia, HammametDécouvrez ce magnifique terrain d’une superficie totale de 7976 m², situé dans la zone prisée de Besbasia, à Hammamet.Superficie généreuse : 7976 m²Prix attractif : entre 150 DT et 200 DT / m²Emplacement stratégique, idéal pour un projet résidentiel ou touristiqueTerrain bénéficiant de toutes les conditions requises (infrastructures et commodités à proximité)Ce terrain représente une opportunité rare d’investissement dans l’une des zones les plus recherchées de Hammamet, alliant calme, accessibilité et potentiel de valorisation",,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/230/640F/h/1_81370801.avif; https://www.mubawab-media.com/business/6/601F/s/1_80597795.avif; https://www.mubawab-media.com/ad/8/243/353F/m/01_81315831.avif; https://www.mubawab-media.com/ad/7/967/362F/m/WhatsApp%20Image%202025-10-23%20at%2010.46.01%20%282%29_81703688.avif; https://www.mubawab-media.com/ad/8/216/907F/m/WhatsApp%20Image%202024-11-29%20%C3%A0%2012.18.59_e5ba2d71_81036326.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Agricole, Commercial, Groupement d'habitation, Industriel, Lots de villa"", ""constructibilité"": ""Plain pied"", ""livraison"": ""Sur plan""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}",{},{},2026-01-27T20:08:38.723725,search,True
8180294,Terrain a vendre a hammamet sud,https://www.mubawab.tn/fr/a/8180294/terrain-a-vendre-a-hammamet-sud,,Hammamet,Hammamet Sud,"Hammamet Sud, Hammamet",Terrain,,20000.0,20 000 TND,20000.0,253.0,"253
						m²",,,"20 000 TND Terrain a vendre a hammamet sud Hammamet Sud, Hammamet 253 m² Contacter Appelez WhatsApp",Terrain à 5 km de Jinan Hammamet/yasmine hammametTous les documents légaux : titre bleu individuel250 m² a 20 mille dinars prix de m² 80 dinars,,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/180/294F/h/_MG_4990%20copy_80665543.avif; https://www.mubawab-media.com/ad/8/180/294F/h/_MG_4991%20copy_80665544.avif; https://www.mubawab-media.com/ad/8/180/294F/h/WhatsApp%20Image%202024-10-19%20at%2013.17.10_4ebac2be_80665545.avif; https://www.mubawab-media.com/ad/8/180/294F/h/_MG_4988%20copy_80665546.avif; https://www.mubawab-media.com/ad/8/180/294F/h/481320871_645692441303105_1424868954024742060_n_80665547.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Lots de villa"", ""constructibilité"": ""R+3"", ""livraison"": ""Titré"", ""statut du terrain"": ""Loti""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}",{},{},2026-01-27T20:08:38.728229,search,True
8290321,A vendre un terrain à Hammamet Sud,https://www.mubawab.tn/fr/a/8290321/a-vendre-un-terrain-%C3%A0-hammamet-sud,,Hammamet,Hammamet Sud,"Hammamet Sud, Hammamet",Terrain,,29000.0,29 000 TND,29000.0,290.0,"290
						m²",,,"29 000 TND A vendre un terrain à Hammamet Sud Hammamet Sud, Hammamet 290 m² Contacter Appelez WhatsApp",Immoteam vous propose un terrain situé à 7 kilomètres de Jinen HammametPour plus d'informations contactez NourVisite du bien disponible 7/7 et gratuitement,,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/290/321F/h/WhatsApp%20Image%202026-01-23%20at%2008.47.50_81828038.avif; https://www.mubawab-media.com/business/9/192F/s/119029102_115568286944317_4952145831382650747_n_54759870.avif; https://www.mubawab-media.com/ad/7/969/755F/m/453506700_503296335542717_8059658514108512563_n_78560798.avif; https://www.mubawab-media.com/ad/8/085/320F/m/474728321_622895936916089_382187848106786755_n_79704712.avif; https://www.mubawab-media.com/ad/8/179/725F/m/504105673_720592813813067_2997060782573396119_n_80833949.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Groupement d'habitation"", ""livraison"": ""Titré""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}",{},{},2026-01-27T20:08:38.736423,search,True
8135333,Terrain latrach hammamet,https://www.mubawab.tn/fr/a/8135333/terrain-latrach-hammamet,,Hammamet,,Hammamet,Terrain,,450000.0,450 000 TND,450000.0,3500.0,"3500
						m²",,,"450 000 TND Terrain latrach hammamet Hammamet, Hammamet 3500 m² Contacter Appelez WhatsApp","Terrain de 3,5 hectares, à Latrach, titre bleu, clôturé , facilement accessible par route goudronnée, vue sur Hammamet centre ville et Yasmine Hammamet, excellent voisinage, à proximité des réseaux d' électricité électricité et eau.",,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/135/333F/h/photo_0_80204186.avif; https://www.mubawab-media.com/assets/common/agency-nologo.jpg; https://www.mubawab-media.com/ad/8/292/154F/m/ab648630-c874-417e-b105-448b916cc052_81844757.avif; https://www.mubawab-media.com/ad/8/238/823F/m/WhatsApp%20Image%202025-10-21%20%C3%A0%2015.06.48_212680c5_81270531.avif; https://www.mubawab-media.com/ad/8/073/885F/m/carthage-land-yasmine-hammamet_81643802.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Agricole"", ""livraison"": ""Titré""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}","{""situation_juridique"": ""Titre foncier""}",{},2026-01-27T20:08:38.741151,search,True
8285482,A vendre a Hammamet latrech un terrain,https://www.mubawab.tn/fr/a/8285482/a-vendre-a-hammamet-latrech-un-terrain,,Hammamet,,Hammamet,Terrain,,120000.0,120 000 TND,120000.0,10000.0,"10000
						m²",,,"120 000 TND A vendre a Hammamet latrech un terrain Hammamet, Hammamet 10000 m² Contacter Appelez WhatsApp",A vendre a Hammamet (latrech) un terrain d’une superficie de un hectare (10000 m2)prix: 120 mille dinarstél :53721106,,,https://www.mubawab-media.com/banner/884F/unnamed%20%2822%29_81829712.jpg; https://www.mubawab-media.com/banner/885F/unnamed%20%2821%29_81829722.jpg; https://www.mubawab-media.com/banner/886F/unnamed%20%2821%29_81829723.jpg; https://www.mubawab-media.com/assets/logos/mubawab.png; https://www.mubawab-media.com/assets/common/loading.gif; https://www.mubawab-media.com/ad/8/285/482F/h/0db69835-567f-400b-afcb-728757b49d4d_81775162.avif; https://www.mubawab-media.com/ad/8/285/482F/h/4fca0dda-4aa6-44d2-b1ea-d3955dedb222_81775163.avif; https://www.mubawab-media.com/business/6/586F/s/32145412_1928951857174998_2505083273605021696_n.avif; https://www.mubawab-media.com/ad/7/986/886F/m/453778228_840164164879891_8221707216625648933_n_78725820.avif; https://www.mubawab-media.com/ad/7/755/599F/m/1681243075684_53369716.avif,"{""type de bien"": ""Terrain"", ""type de terrain"": ""Agricole""}","{""latitude"": ""36.40108"", ""longitude"": ""10.61457""}",{},{},2026-01-27T20:08:38.748193,search,True
