iter	RMSE
0	636064.774
1	617063.1368
2	599112.2194
3	581969.73
4	565967.138
5	550767.4954
6	536855.7114
7	523343.2085
8	510687.458
9	498491.4048
10	487155.216
11	476689.2154
12	466482.2579
13	456764.8185
14	447729.5279
15	438960.0582
16	430923.4526
17	423294.4549
18	416178.4009
19	409456.5828
20	402873.9993
21	396671.2138
22	390938.5786
23	385596.1463
24	380024.1674
25	375277.1255
26	370921.566
27	366869.4324
28	362475.8979
29	358260.5809
30	354105.5809
31	350463.9637
32	347110.4593
33	344013.7993
34	340916.5818
35	337961.9223
36	335492.0836
37	332429.505
38	329578.7426
39	326751.0916
40	324618.6413
41	322510.5802
42	320456.4323
43	318399.6365
44	316507.9545
45	314665.5717
46	312583.6733
47	311046.3466
48	309248.0316
49	307850.7526
50	306425.174
51	304934.449
52	303532.0381
53	302185.8072
54	301072.9884
55	299746.3197
56	298201.7013
57	296995.0429
58	296009.6192
59	294801.7414
60	293652.2188
61	292589.9466
62	291498.9645
63	290389.4059
64	289435.5047
65	288548.6527
66	287617.6441
67	286907.8645
68	286234.7905
69	285459.6107
70	284519.0254
71	283818.1181
72	283111.322
73	282337.6385
74	281782.7893
75	281115.0293
76	280491.8795
77	279711.5817
78	279143.2216
79	278543.1075
80	278068.7558
81	277358.1911
82	276913.3239
83	276380.3073
84	275909.8286
85	275446.4285
86	274911.7301
87	274507.8713
88	273915.5191
89	273339.7974
90	272931.1887
91	272502.9936
92	272112.711
93	271725.0438
94	271148.2826
95	270784.8335
96	270308.6715
97	269921.3577
98	269613.2151
99	269148.6091
100	268677.8678
101	268287.5533
102	267914.5495
103	267558.791
104	267201.2564
105	266877.335
106	266584.7618
107	266315.4844
108	265940.547
109	265650.6482
110	265318.5171
111	265044.5322
112	264611.0082
113	264242.2196
114	264015.5821
115	263618.3782
116	263264.878
117	262815.56
118	262581.3897
119	262285.6601
120	262070.0293
121	261730.649
122	261531.4594
123	261388.6069
124	261225.3104
125	260933.684
126	260625.019
127	260428.423
128	260261.7041
129	259927.7486
130	259250.0034
131	259020.3419
132	258870.4795
133	258693.6959
134	258482.1802
135	258305.9374
136	258037.0397
137	257722.4832
138	257545.8483
139	257348.3876
140	257155.1364
141	256948.467
142	256725.512
143	256502.0071
144	256318.6272
145	256039.6246
146	255814.7325
147	255600.007
148	255478.5343
149	255232.6096
150	254826.7795
151	254688.8778
152	254553.7236
153	254412.2376
154	254291.3336
155	254123.9514
156	253948.1267
157	253817.9092
158	253694.3863
159	253536.8397
160	253412.9293
161	253386.2721
162	253055.5128
163	252914.7558
164	252818.5376
165	252722.2953
166	252623.2732
167	252448.5314
168	252276.4095
169	252117.3625
170	251932.0883
171	251817.7887
172	251648.3072
173	251502.3599
174	251324.9887
175	251220.9377
176	251111.8139
177	251017.0342
178	250883.5542
179	250776.3771
180	250629.2857
181	250527.2245
182	250431.6775
183	250241.2971
184	250174.7541
185	250017.7802
186	249771.1942
187	249687.0636
188	249600.8978
189	249231.2538
190	249157.7615
191	249094.6709
192	249076.0966
193	249008.3293
194	248944.2655
195	248691.9195
196	248585.3685
197	248461.9002
198	248385.833
199	248230.7823
200	248159.7505
201	247941.0799
202	247769.8352
203	247671.7164
204	247564.043
205	247445.1603
206	246952.0594
207	246764.3729
208	246616.1618
209	246512.4098
210	246435.753
211	246347.3787
212	246319.4374
213	246263.4641
214	246195.4878
215	246130.3157
216	246063.0052
217	245995.9326
218	245684.902
219	245532.9839
220	245413.5993
221	245304.3691
222	245249.2314
223	245095.2726
224	244687.6372
225	244464.6994
226	244416.9555
227	244271.0135
228	244203.857
229	244035.1733
230	243891.103
231	243715.0328
232	243585.9748
233	243517.0213
234	243458.2707
235	243392.7074
236	243234.7564
237	243192.5028
238	243107.1021
239	243051.472
240	242894.5744
241	242805.7522
242	242760.0144
243	242636.5772
244	242550.0391
245	242508.5372
246	242467.0126
247	242387.2551
248	242328.9719
249	242269.4179
250	242231.376
251	242185.0956
252	241836.4164
253	241784.0959
254	241702.5371
255	241603.2747
256	241532.5265
257	241498.0378
258	241428.5299
259	241193.8707
260	241100.8602
261	241041.8791
262	240992.8025
263	240877.9227
264	240827.3124
265	240788.7419
266	240716.9611
267	240643.0101
268	240608.4157
269	240525.4862
270	240446.4083
271	240373.0056
272	240346.0843
273	240233.2518
274	240145.8246
275	240097.9496
276	240059.424
277	240015.2424
278	239966.53
279	239918.4673
280	239625.5726
281	239581.6919
282	239499.5676
283	239457.1091
284	239417.9706
285	239372.7377
286	239316.6117
287	239281.1218
288	239049.4417
289	239001.6578
290	238958.2266
291	238901.3384
292	238867.6546
293	238805.5057
294	238506.01
295	238465.6261
296	238418.9902
297	238145.0397
298	238071.7971
299	238009.0039
300	237969.8719
301	237750.5833
302	237691.45
303	237426.0892
304	237394.1664
305	237250.1443
306	237218.7806
307	237180.9211
308	237113.9825
309	237077.2341
310	236856.5264
311	236766.0861
312	236730.2182
313	236683.8572
314	236622.5596
315	236582.6892
316	236527.5741
317	236493.3201
318	236430.1753
319	236288.4292
320	236249.9117
321	236216.667
322	236170.8544
323	236126.357
324	235859.7655
325	235801.4797
326	235774.3034
327	235738.7687
328	235635.2414
329	235600.5335
330	235578.1702
331	235546.5755
332	235485.5325
333	235456.2971
334	235219.8111
335	235188.7274
336	235155.6354
337	235124.1068
338	235095.2534
339	235069.418
340	235048.925
341	235030.4204
342	234866.683
343	234530.7608
344	234505.1749
345	234445.9164
346	234424.2083
347	234321.5226
348	234291.9876
349	234260.6557
350	234233.7761
351	234175.4297
352	234140.9268
353	234050.8918
354	234024.8933
355	233998.3391
356	233965.9774
357	233924.4178
358	233875.4522
359	233768.306
360	233746.8143
361	233722.6188
362	233674.5855
363	233494.3673
364	233455.7926
365	233397.4693
366	233348.626
367	233316.8351
368	233282.9055
369	233263.736
370	233238.4764
371	233223.4699
372	233108.366
373	233088.302
374	232976.4248
375	232937.076
376	232916.4895
377	232898.1117
378	232872.2482
379	232853.9257
380	232829.0891
381	232796.1944
382	232718.4736
383	232695.193
384	232657.3279
385	232534.0656
386	232515.3359
387	232480.2795
388	232455.722
389	232429.0531
390	232355.6603
391	232323.2156
392	232274.9136
393	232256.8765
394	232124.2315
395	232107.7264
396	232090.608
397	232062.9651
398	232046.9119
399	232020.9094
400	231718.6303
401	231697.5132
402	231681.5917
403	231634.8695
404	231537.0382
405	231511.5032
406	231490.0828
407	231458.7496
408	231434.4897
409	231375.4118
410	231334.5661
411	231312.233
412	231287.6829
413	231267.4014
414	231215.6647
415	231198.2669
416	231156.7744
417	231125.4262
418	231087.1912
419	231065.5191
420	231049.1057
421	231034.934
422	231009.8293
423	230987.6045
424	230972.5272
425	230953.6487
426	230908.2344
427	230886.116
428	230869.6282
429	230839.883
430	230730.5137
431	230699.6541
432	230677.8755
433	230652.1004
434	230634.9205
435	230378.3567
436	230358.9515
437	230316.4229
438	230295.347
439	230280.0361
440	230205.0045
441	230186.5475
442	230165.4144
443	230151.6412
444	230133.3848
445	230115.693
446	230098.545
447	230086.7514
448	230070.1058
449	230052.2195
