iter	Passed	Remaining
0	49	24755
1	81	20404
2	113	18839
3	141	17605
4	170	16838
5	198	16325
6	227	16043
7	256	15759
8	285	15598
9	316	15507
10	360	16027
11	388	15810
12	418	15687
13	448	15568
14	478	15478
15	509	15405
16	538	15313
17	565	15135
18	597	15127
19	629	15099
20	670	15294
21	696	15132
22	726	15060
23	756	15008
24	779	14801
25	804	14666
26	835	14643
27	863	14562
28	888	14434
29	913	14316
30	955	14458
31	1015	14851
32	1062	15038
33	1100	15087
34	1134	15071
35	1165	15019
36	1192	14917
37	1221	14845
38	1253	14815
39	1282	14753
40	1313	14700
41	1337	14590
42	1369	14552
43	1404	14560
44	1438	14540
45	1466	14470
46	1513	14584
47	1545	14549
48	1582	14562
49	1645	14813
50	1682	14809
51	1725	14868
52	1753	14790
53	1776	14673
54	1822	14746
55	1851	14677
56	1891	14702
57	1928	14693
58	1968	14716
59	2006	14710
60	2041	14691
61	2076	14672
62	2109	14630
63	2141	14590
64	2187	14637
65	2212	14550
66	2247	14524
67	2274	14451
68	2306	14405
69	2351	14443
70	2404	14527
71	2438	14498
72	2481	14514
73	2515	14482
74	2569	14560
75	2617	14602
76	2661	14619
77	2700	14611
78	2736	14585
79	2765	14520
80	2796	14467
81	2826	14407
82	2851	14327
83	2879	14262
84	2901	14163
85	2929	14104
86	2961	14058
87	2994	14020
88	3027	13983
89	3069	13984
90	3115	14001
91	3148	13964
92	3194	13980
93	3224	13928
94	3260	13899
95	3309	13927
96	3354	13938
97	3386	13890
98	3413	13828
99	3446	13787
100	3480	13747
101	3576	13953
102	3618	13948
103	3658	13928
104	3699	13916
105	3726	13853
106	3756	13796
107	3778	13713
108	3804	13647
109	3827	13570
110	3856	13514
111	3882	13449
112	3908	13384
113	3937	13331
114	3963	13269
115	3988	13202
116	4015	13145
117	4038	13075
118	4063	13010
119	4085	12935
120	4107	12866
121	4135	12812
122	4160	12752
123	4184	12687
124	4205	12617
125	4231	12561
126	4254	12495
127	4282	12445
128	4303	12376
129	4331	12327
130	4358	12276
131	4383	12221
132	4409	12167
133	4430	12101
134	4457	12051
135	4483	11998
136	4506	11939
137	4529	11881
138	4557	11835
139	4578	11774
140	4601	11716
141	4626	11664
142	4650	11610
143	4678	11565
144	4707	11524
145	4732	11475
146	4761	11433
147	4806	11430
148	4832	11383
149	4863	11347
150	4895	11314
151	4926	11278
152	4974	11282
153	5011	11259
154	5039	11215
155	5065	11170
156	5090	11120
157	5110	11062
158	5132	11006
159	5153	10952
160	5176	10899
161	5190	10828
162	5214	10780
163	5242	10740
164	5274	10708
165	5308	10680
166	5340	10648
167	5364	10600
168	5391	10558
169	5413	10507
170	5434	10455
171	5455	10402
172	5478	10355
173	5499	10304
174	5520	10252
175	5544	10207
176	5568	10161
177	5590	10113
178	5614	10068
179	5649	10044
180	5686	10022
181	5730	10012
182	5764	9985
183	5802	9965
184	5838	9940
185	5880	9927
186	5913	9898
187	5950	9875
188	5982	9844
189	6026	9832
190	6058	9800
191	6096	9780
192	6126	9745
193	6161	9719
194	6197	9693
195	6237	9674
196	6285	9667
197	6329	9654
198	6370	9635
199	6420	9631
200	6462	9614
201	6506	9598
202	6542	9571
203	6584	9553
204	6618	9523
205	6657	9501
206	6693	9475
207	6728	9445
208	6772	9429
209	6804	9396
210	6846	9376
211	6882	9350
212	6918	9322
213	6958	9299
214	6993	9270
215	7039	9256
216	7073	9225
217	7123	9214
218	7157	9184
219	7205	9170
220	7247	9149
221	7298	9139
222	7342	9121
223	7379	9092
224	7424	9074
225	7463	9048
226	7572	9107
227	7617	9087
228	7636	9037
229	7657	8989
230	7680	8944
231	7704	8899
232	7728	8855
233	7751	8812
234	7774	8766
235	7796	8721
236	7820	8678
237	7852	8644
238	7884	8610
239	7919	8579
240	7956	8550
241	7991	8520
242	8032	8494
243	8062	8458
244	8097	8428
245	8130	8395
246	8165	8363
247	8200	8332
248	8234	8300
249	8276	8276
250	8310	8244
251	8344	8212
252	8373	8175
253	8410	8145
254	8446	8115
255	8476	8079
256	8512	8048
257	8559	8028
258	8593	7996
259	8637	7972
260	8667	7936
261	8699	7903
262	8726	7864
263	8762	7833
264	8796	7800
265	8836	7773
266	8864	7735
267	8903	7707
268	8938	7675
269	8975	7645
270	9010	7613
271	9045	7582
272	9076	7547
273	9117	7520
274	9153	7489
275	9193	7461
276	9224	7425
277	9245	7382
278	9265	7338
279	9285	7295
280	9308	7254
281	9329	7212
282	9351	7170
283	9371	7127
284	9390	7083
285	9409	7040
286	9431	6999
287	9450	6956
288	9472	6915
289	9495	6876
290	9519	6837
291	9543	6798
292	9562	6755
293	9581	6713
294	9604	6674
295	9624	6633
296	9645	6592
297	9667	6553
298	9688	6513
299	9710	6473
300	9731	6433
301	9753	6394
302	9772	6353
303	9793	6314
304	9814	6274
305	9836	6236
306	9856	6196
307	9876	6156
308	9898	6118
309	9920	6080
310	9953	6049
311	9973	6009
312	9993	5970
313	10012	5930
314	10033	5892
315	10055	5855
316	10074	5815
317	10093	5776
318	10113	5738
319	10136	5702
320	10159	5665
321	10178	5626
322	10199	5589
323	10217	5550
324	10240	5513
325	10260	5476
326	10278	5438
327	10298	5400
328	10321	5364
329	10343	5328
330	10363	5291
331	10383	5254
332	10403	5217
333	10423	5180
334	10445	5144
335	10467	5109
336	10490	5074
337	10513	5039
338	10533	5002
339	10554	4966
340	10574	4930
341	10595	4894
342	10617	4859
343	10639	4824
344	10658	4788
345	10681	4754
346	10700	4718
347	10723	4683
348	10744	4648
349	10763	4612
350	10781	4576
351	10803	4542
352	10823	4507
353	10845	4472
354	10865	4438
355	10885	4403
356	10905	4368
357	10926	4333
358	10948	4300
359	10969	4265
360	10988	4231
361	11010	4197
362	11033	4164
363	11056	4130
364	11076	4096
365	11098	4063
366	11121	4030
367	11140	3995
368	11159	3961
369	11180	3928
370	11200	3894
371	11221	3861
372	11242	3827
373	11262	3794
374	11284	3761
375	11303	3727
376	11322	3693
377	11341	3660
378	11363	3627
379	11383	3594
380	11402	3561
381	11422	3528
382	11444	3496
383	11465	3463
384	11488	3431
385	11511	3399
386	11530	3366
387	11551	3334
388	11573	3302
389	11593	3269
390	11614	3237
391	11633	3205
392	11655	3173
393	11675	3141
394	11695	3108
395	11714	3076
396	11735	3044
397	11755	3012
398	11776	2980
399	11795	2948
400	11817	2917
401	11835	2885
402	11853	2853
403	11878	2822
404	11907	2793
405	11928	2761
406	11947	2730
407	11968	2698
408	11990	2667
409	12012	2636
410	12032	2605
411	12052	2574
412	12073	2543
413	12094	2512
414	12127	2484
415	12155	2454
416	12179	2424
417	12207	2394
418	12233	2364
419	12262	2335
420	12287	2305
421	12312	2275
422	12335	2245
423	12359	2215
424	12382	2185
425	12406	2155
426	12429	2125
427	12454	2095
428	12480	2065
429	12505	2035
430	12531	2006
431	12553	1975
432	12578	1946
433	12600	1916
434	12624	1886
435	12651	1857
436	12672	1826
437	12695	1797
438	12720	1767
439	12743	1737
440	12767	1708
441	12788	1678
442	12810	1648
443	12831	1618
444	12852	1588
445	12872	1558
446	12893	1528
447	12913	1498
448	12934	1469
449	12955	1439
450	12977	1409
451	12998	1380
452	13019	1350
453	13038	1321
454	13057	1291
455	13080	1262
456	13101	1232
457	13126	1203
458	13148	1174
459	13168	1145
460	13193	1116
461	13216	1087
462	13242	1058
463	13265	1029
464	13288	1000
465	13310	971
466	13333	942
467	13354	913
468	13379	884
469	13400	855
470	13422	826
471	13445	797
472	13467	768
473	13489	739
474	13515	711
475	13535	682
476	13587	655
477	13620	626
478	13645	598
479	13667	569
480	13688	540
481	13709	511
482	13734	483
483	13754	454
484	13774	426
485	13797	397
486	13822	368
487	13845	340
488	13865	311
489	13888	283
490	13927	255
491	13972	227
492	14010	198
493	14045	170
494	14079	142
495	14103	113
496	14123	85
497	14143	56
498	14159	28
499	14182	0
